dataset,run_name,train_results_json,train_best_epoch,train_best_macro_auc,curvature,objective,lambda_excl,lambda_overlap,eval_hyperbolic_macro_auc,eval_euclidean_macro_auc,eval_h_source,eval_h_csv_top1_global,eval_h_csv_top10_mean_global,eval_h_csv_top100_mean_global,eval_e_csv_top1_global,eval_e_csv_top10_mean_global,eval_e_csv_top100_mean_global,run_path,train_per_class_0,eval_h_per_class_0,eval_e_per_class_0,train_per_class_1,eval_h_per_class_1,eval_e_per_class_1,train_per_class_2,eval_h_per_class_2,eval_e_per_class_2,train_per_class_3,eval_h_per_class_3,eval_e_per_class_3,train_per_class_4,eval_h_per_class_4,eval_e_per_class_4,train_per_class_5,eval_h_per_class_5,eval_e_per_class_5,train_per_class_6,eval_h_per_class_6,eval_e_per_class_6,train_per_class_7,eval_h_per_class_7,eval_e_per_class_7,train_per_class_8,eval_h_per_class_8,eval_e_per_class_8,train_per_class_9,eval_h_per_class_9,eval_e_per_class_9
MNIST,ablate_mnist_full,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheck\runs\ablate_mnist_full\results.json,50,0.9477152394229599,1.0,soft-boundary,0.01,0.01,,,,,,,,,,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheck\runs\ablate_mnist_full,0.9852784699894328,,,0.9985141342229931,,,0.9048616504886089,,,0.9098387214958417,,,0.966431976063341,,,0.895755968539494,,,0.9782183483584931,,,0.962767628453832,,,0.9325683905795732,,,0.9429171060379892,,
MNIST,ablate_mnist_indep,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheck\runs\ablate_mnist_indep\results.json,50,0.9330957965331516,1.0,soft-boundary,0.0,0.0,,,,,,,,,,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheck\runs\ablate_mnist_indep,0.9828075466341616,,,0.9980850973793794,,,0.8308938647385715,,,0.8997481651495004,,,0.9265714260248087,,,0.9120861405863716,,,0.9677002397843266,,,0.9546367001853008,,,0.9135753922177516,,,0.9448533926313434,,
MNIST,ablate_mnist_no_excl,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheck\runs\ablate_mnist_no_excl\results.json,50,0.9345105203843787,1.0,soft-boundary,0.0,0.01,,,,,,,,,,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheck\runs\ablate_mnist_no_excl,0.983895048070532,,,0.998100885418073,,,0.8844102345400916,,,0.8970062884881188,,,0.9332242498539611,,,0.8966780887025599,,,0.9690342056978585,,,0.9343181736787862,,,0.9129170548339769,,,0.9355209745598296,,
MNIST,ablate_mnist_no_ov,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheck\runs\ablate_mnist_no_ov\results.json,50,0.9431499962001823,1.0,soft-boundary,0.01,0.0,,,,,,,,,,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheck\runs\ablate_mnist_no_ov,0.984868625613133,,,0.9986916812848987,,,0.892108824319927,,,0.9090473878019879,,,0.9615469593751456,,,0.8852307809413268,,,0.9778495088395631,,,0.9503834017102861,,,0.9260903000927101,,,0.9456824920228428,,
MNIST,ae_pretrain_mnist,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheck\runs\ae_pretrain_mnist\results.json,1,0.8123121414815271,1.0,soft-boundary,0.0,0.0,,,,,,,,,,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheck\runs\ae_pretrain_mnist,0.8913031710553887,,,0.956265989118635,,,0.6690978585545646,,,0.8167490653358063,,,0.655470983291693,,,0.7038163429716118,,,0.8870736155546282,,,0.8842031067409992,,,0.8222913235042619,,,0.8368499586876834,,
MNIST,hyp_multi_cuda,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheck\runs\hyp_multi_cuda\results.json,45,0.9519980610876144,1.0,soft-boundary,0.01,0.01,,,,,,,,,,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheck\runs\hyp_multi_cuda,0.9850608176158729,,,0.9998315528155145,,,0.9419388741239215,,,0.9418031921369799,,,0.9531115588264601,,,0.8773484731822149,,,0.9861026656686693,,,0.9423074668162867,,,0.9376424686540833,,,0.9548335410361403,,
CIFAR-10,ablate_cifar_full,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheckcifar\runs\ablate_cifar_full\results.json,10,0.7397794777777777,1.0,soft-boundary,0.01,0.01,,,,,,,,,,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheckcifar\runs\ablate_cifar_full,0.7879063888888888,,,0.7024162777777778,,,0.7261752777777778,,,0.6625493333333333,,,0.7739384444444445,,,0.6769695555555556,,,0.7936932222222222,,,0.7157472777777778,,,0.8420666666666667,,,0.7163323333333333,,
CIFAR-10,ablate_cifar_indep,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheckcifar\runs\ablate_cifar_indep\results.json,50,0.6159254944444444,1.0,soft-boundary,0.0,0.0,,,,,,,,,,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheckcifar\runs\ablate_cifar_indep,0.6223544444444444,,,0.44385494444444445,,,0.6492322777777778,,,0.5894926111111112,,,0.7111296666666667,,,0.6258453888888889,,,0.7178515555555555,,,0.5731280555555556,,,0.7385838333333334,,,0.4877821666666667,,
CIFAR-10,ablate_cifar_no_excl,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheckcifar\runs\ablate_cifar_no_excl\results.json,50,0.6187401333333333,1.0,soft-boundary,0.0,0.01,,,,,,,,,,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheckcifar\runs\ablate_cifar_no_excl,0.6383736666666666,,,0.4433621111111111,,,0.6405055555555556,,,0.5903973888888889,,,0.7158378333333333,,,0.6280501111111112,,,0.701296,,,0.5851993888888889,,,0.7412767777777778,,,0.5031025,,
CIFAR-10,ablate_cifar_no_ov,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheckcifar\runs\ablate_cifar_no_ov\results.json,10,0.7424052055555556,1.0,soft-boundary,0.01,0.0,,,,,,,,,,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheckcifar\runs\ablate_cifar_no_ov,0.7859773333333334,,,0.7105130555555554,,,0.7276082777777777,,,0.6683457222222222,,,0.7793747222222223,,,0.673705,,,0.7992405,,,0.7172542222222222,,,0.842831,,,0.7192022222222222,,
CIFAR-10,ae_pretrain_cifar,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheckcifar\runs\ae_pretrain_cifar\results.json,1,0.5778710499999999,1.0,soft-boundary,0.0,0.0,,,,,,,,,,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheckcifar\runs\ae_pretrain_cifar,0.6464503333333333,,,0.41024022222222223,,,0.6477101111111111,,,0.5046267777777778,,,0.7415465,,,0.5338813888888889,,,0.6907568888888889,,,0.4975339444444445,,,0.6784423888888889,,,0.4275219444444444,,
CIFAR-10,hyp_cifar_cuda,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheckcifar\runs\hyp_cifar_cuda\results.json,10,0.7410608388888889,1.0,soft-boundary,0.01,0.01,,,,,,,,,,D:\Doctorate\EngineCheck\oasplTurbojet\SampleSvDD\samplesvdd\hySpCheckcifar\runs\hyp_cifar_cuda,0.7813253888888889,,,0.6942182222222222,,,0.7303379444444444,,,0.6625462222222223,,,0.7715760555555555,,,0.6893958333333333,,,0.8078041111111112,,,0.7152920555555555,,,0.8421215,,,0.7159910555555555,,
